[03/02/19, 03.06.20] Bryan Widjaja: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[03/02/19, 03.06.20] Bryan Widjaja: ‎Bryan changed their phone number. You're currently chatting with their new number
[22/08/23, 01.05.09] Matthew Taruno: Ke grace lagi aja hahaha
[22/08/23, 01.05.12] Matthew Taruno: gzheng77
[23/02/24, 08.14.55] Matthew Taruno: So ceritanya my bro might have to stay at us over summer lol so he doesnt lose OPT
[23/02/24, 08.15.02] Matthew Taruno: Hes graduating this semester
[23/02/24, 08.15.27] Matthew Taruno: I was thinking i might look for housing in seattle for him, since im coming later this year as well
[23/02/24, 08.15.55] Matthew Taruno: U recommend anything specific in particular? Perhaps areas i shd look at?
[23/02/24, 08.23.13] Bryan Widjaja: Lol thats funny
[23/02/24, 08.23.17] Bryan Widjaja: Trgantung dia sukanya apa
[23/02/24, 08.23.19] Bryan Widjaja: What ru looking for
[23/02/24, 08.24.05] Matthew Taruno: What are you thinking lol
[23/02/24, 08.24.13] Bryan Widjaja: Well like
[23/02/24, 08.24.16] Bryan Widjaja: What ru looking for
[23/02/24, 08.24.20] Bryan Widjaja: Quiey loud
[23/02/24, 08.24.21] Matthew Taruno: In terms of the different types of things we can be looking for
[23/02/24, 08.24.22] Bryan Widjaja: Price range
[23/02/24, 08.24.23] Bryan Widjaja: This that
[23/02/24, 08.24.28] Bryan Widjaja: Young old
[23/02/24, 08.24.30] Bryan Widjaja: Peaceful
[23/02/24, 08.24.35] Bryan Widjaja: Closer to pblic transport etc
[23/02/24, 08.24.38] Bryan Widjaja: Giv me a criteria
[23/02/24, 08.24.51] Matthew Taruno: Safe
[23/02/24, 08.25.16] Matthew Taruno: LMAO young or old well preferrably young but its not that big a deal
[23/02/24, 08.25.41] Matthew Taruno: My campus will be in bellevue
[23/02/24, 08.26.08] Matthew Taruno: Man thats crazy that i hv to start thinking about this
[23/02/24, 08.26.35] Matthew Taruno: This is definitely a plus
[23/02/24, 08.27.45] Matthew Taruno: You still be living in the same bellevue house bro?
[23/02/24, 08.35.58] Bryan Widjaja: HAHAHA YAA isnt tht nuts
[23/02/24, 08.36.11] Bryan Widjaja: Bellevue is nice and quiet and peaceful and cheaper but no public tea sports
[23/02/24, 08.36.14] Bryan Widjaja: Transport
[23/02/24, 08.36.16] Bryan Widjaja: Hrus ad mobil
[23/02/24, 08.36.22] Bryan Widjaja: Klo ngk ad bisa SLU, also quite nice
[23/02/24, 08.36.25] Bryan Widjaja: Cap hill is nice hut mahal
[23/02/24, 08.36.33] Bryan Widjaja: Greenlake jg not bad for no car
[23/02/24, 10.43.33] Matthew Taruno: what is public tea sports LOL
[23/02/24, 10.43.43] Matthew Taruno: okay gotcha
[23/02/24, 10.45.23] Matthew Taruno: do you recommend I do a web search for property management companies and real estate agents gt?
[23/02/24, 10.47.19] Matthew Taruno: - Car or no car? No car currently, but honestly can start looking fo rone bc matt plans to get one
- Budget - around 1.4-2k? I think better to see listings but this is initial ballpark
- Which months? = Probably 1 or 1.5 year lease, perhaps starting from this summer
[23/02/24, 11.10.02] Bryan Widjaja: Public transport* autocorrect lol
[23/02/24, 11.10.21] Bryan Widjaja: Nahhh just go apts .com or zillow gtu2
[23/02/24, 11.10.27] Bryan Widjaja: Gausah pake real estate agent
[23/02/24, 11.10.35] Bryan Widjaja: Mnding cari by location imo dripada management companies theyr all shit
[23/02/24, 11.10.54] Bryan Widjaja: Ini utk ur bro or for y sih?
[23/02/24, 11.11.05] Bryan Widjaja: Klo no car paling di cap hill, slu, bell town, greenlake area ok sih
[23/02/24, 11.11.14] Bryan Widjaja: Everything else mngkin susah kemana2. Doable but tough tbh
[23/02/24, 11.11.35] Bryan Widjaja: Budget is good sih. In places where u need car bkal lbih murah jatohnya
[23/02/24, 11.14.26] Matthew Taruno: actually ill be needing a place to stay for next sem and 1.5 year total
[23/02/24, 11.14.38] Matthew Taruno: ken just needs a place to stay summer months while he goes job hunting
[23/02/24, 11.15.07] Matthew Taruno: since it's both in seattle area i was thinking it could either double as where i am gonna stay as well
[23/02/24, 11.15.16] Matthew Taruno: or it could just be a temporary thing for ken
[23/02/24, 11.15.38] Matthew Taruno: ayttt this is helpful ill start hunting w him
[23/02/24, 11.16.42] Matthew Taruno: you would say these are pretty standard prices and procedure ya for getting a place, you don't really get much bonus points/return if i network around for a "special deal"
[24/02/24, 03.23.50] Bryan Widjaja: Lu kapan ksinya?
[24/02/24, 03.23.54] Bryan Widjaja: Kesini nya*
[24/02/24, 03.24.13] Bryan Widjaja: Nahh lol rarely dapet sih
[24/02/24, 03.24.19] Bryan Widjaja: Unless u can flirt eith the leasing office or the agent
[24/02/24, 03.24.35] Bryan Widjaja: Biasa special deal gtu2 doang or if u get it during ur off season gtu
[24/02/24, 03.25.02] Bryan Widjaja: Cari2 online aj bnyk bngt kok. Tp itll take a minute as always so be patient lol
[24/02/24, 18.25.34] Matthew Taruno: Still confirming, but im guessing july
[24/02/24, 18.25.39] Matthew Taruno: HAHAHA
[24/02/24, 18.25.50] Matthew Taruno: Kalo itu lu yg experiencenya udh tinggi pol
[24/02/24, 18.26.10] Matthew Taruno: Okay bro noted. Appreciate the intel 🫶
[04/05/24, 08.40.11] Bryan Widjaja: ‎Voice call. ‎3 min
[04/05/24, 08.51.59] Matthew Taruno: ‎Voice call. ‎No answer
